Code,Item Description
056451,HYD ASPERA PLUM PASSION R
056452,HYD ASPERA PLUM PASSION R
056455,HYD ASPERA PLUM PASSION R
05645M,HYD ASPERA PLUM PASSION R
035025,HYD END SUM R BLSH BRID P17169
075631,HYD INTEG TAIPING SHAN CLIMBNG
075632,HYD INTEG TAIPING SHAN CLIMBNG
075635,HYD INTEG TAIPING SHAN CLIMBNG
092752,HYD M ENCHANTRESS R PPAF
092755,HYD M ENCHANTRESS R PPAF
017311S,HYD M ENDLESS SUMMER R PP15298
017312S,HYD M ENDLESS SUMMER R PP15298
017315,HYD M ENDLESS SUMMER R PP15298
017317,HYD M ENDLESS SUMMER R PP15298
042281,HYD MAC BUTTNS'N BOWS R P11405
042285,HYD MAC BUTTNS'N BOWS R P11405
074561S,HYD MAC CTYLN TM PARIS PP10906
074562S,HYD MAC CTYLN TM PARIS PP10906
074541S,HYD MAC CTYLN TM RIO
074542S,HYD MAC CTYLN TM RIO
074571S,HYD MAC CTYLN TM VENICE P10928
074572S,HYD MAC CTYLN TM VENICE P10928
029802,HYD MAC FUJI WATERFALL
042383,HYD MAC GLOWING EMBERS
019222,HYD MAC HORNLI
041891,HYD MAC LANARTH WHITE
041893,HYD MAC LANARTH WHITE
041895,HYD MAC LANARTH WHITE
077461S,HYD MAC LD R BIG EASY PPAF
077462S,HYD MAC LD R BIG EASY PPAF
077465,HYD MAC LD R BIG EASY PPAF
074592S,HYD MAC LD R MOONLIGHT PP20020
074595,HYD MAC LD R MOONLIGHT PP20020
074582S,HYD MAC LD R STARLIGHT PP20019
074585,HYD MAC LD R STARLIGHT PP20019
015682,HYD MAC MADAME EMILE MOUILLERE
041921,HYD MAC MARIESII VARIEGATA
041925,HYD MAC MARIESII VARIEGATA
048115,HYD MAC MARIESII VARIEG-SELECT
029915,HYD MAC MASJA
041951,HYD MAC MERRITT'S BEAUTY
041955,HYD MAC MERRITT'S BEAUTY
038775,HYD MAC MINI PENNY TM PP15744
042295,HYD MAC NIGRA
041961,HYD MAC NIKKO BLUE
041962,HYD MAC NIKKO BLUE
041963,HYD MAC NIKKO BLUE
041965,HYD MAC NIKKO BLUE
041967,HYD MAC NIKKO BLUE
023751,HYD MAC PENNY MAC
023751S,HYD MAC PENNY MAC
023752,HYD MAC PENNY MAC
023753,HYD MAC PENNY MAC
023755,HYD MAC PENNY MAC
023757,HYD MAC PENNY MAC
042071,HYD MAC PINK ELF R (PIA)
042072,HYD MAC PINK ELF R (PIA)
042075,HYD MAC PINK ELF R (PIA)
041971,HYD MAC PINK N PRETTY R
041975,HYD MAC PINK N PRETTY R
041981,HYD MAC RED N PRETTY R
041983,HYD MAC RED N PRETTY R
041985,HYD MAC RED N PRETTY R
007443,HYD MAC VARIEGATA
007445,HYD MAC VARIEGATA
007447,HYD MAC VARIEGATA
042101,HYD MAC WHITE
042105,HYD MAC WHITE
042015,HYD MIDNIGHT DUCHESS R PP18282
089951S,HYD P LITTLE QUICK FIRE R PPAF
089952S,HYD P LITTLE QUICK FIRE R PPAF
042021,HYD PAN ANGEL'S BLUSH R P10751
042022,HYD PAN ANGEL'S BLUSH R P10751
042025,HYD PAN ANGEL'S BLUSH R P10751
042025PT,HYD PAN ANGEL'S BLUSH R P10751
080951S,HYD PAN BOBO R PP22782
080952S,HYD PAN BOBO R PP22782
080955,HYD PAN BOBO R PP22782
080202,HYD PAN FIRE AND ICE PPAF
08020M,HYD PAN FIRE AND ICE PPAF
089941S,HYD PAN FIRE LIGHT TM PPAF
089945,HYD PAN FIRE LIGHT TM PPAF
024371S,HYD PAN LIMELIGHT PP12874
024372S,HYD PAN LIMELIGHT PP12874
024375,HYD PAN LIMELIGHT PP12874
024375PT,HYD PAN LIMELIGHT PP12874
029921S,HYD PAN LITTLE LIME PPAF
029922S,HYD PAN LITTLE LIME PPAF
029925,HYD PAN LITTLE LIME PPAF
091845,HYD PAN PINK PERFECT
074611S,HYD PAN PINKY WINKY TM PP16166
074612S,HYD PAN PINKY WINKY TM PP16166
074615,HYD PAN PINKY WINKY TM PP16166
074601S,HYD PAN QUICK FIRE R PP16812
074602S,HYD PAN QUICK FIRE R PP16812
074605,HYD PAN QUICK FIRE R PP16812
091835,HYD PAN SOUTHERN CROSS
041941,HYD PAN TARDIVA
041942,HYD PAN TARDIVA
041945,HYD PAN TARDIVA
035011,HYD PET MIRANDA
035012,HYD PET MIRANDA
035015,HYD PET MIRANDA
041701,HYD PETIOLARIS
041702,HYD PETIOLARIS
041705,HYD PETIOLARIS
041705TE,HYD PETIOLARIS
041709,HYD PETIOLARIS
042185,HYD PRINCESS LACE R PP18341
038765,HYD QUEEN OF PEARLS R PP18294
093172,HYD QUER NA73936 MUNCHKIN
093175,HYD QUER NA73936 MUNCHKIN
048162,HYD QUER NA74836 RUBY SLIPPERS
048165,HYD QUER NA74836 RUBY SLIPPERS
04816M,HYD QUER NA74836 RUBY SLIPPERS
042562,HYD QUER PEE WEE
042565,HYD QUER PEE WEE
042061,HYD QUER SNOW QUEEN
042065,HYD QUER SNOW QUEEN
04206M,HYD QUER SNOW QUEEN
042041,HYD QUER SNOWFLAKE
042045,HYD QUER SNOWFLAKE
042092,HYD QUERCIFOLIA
042095,HYD QUERCIFOLIA
04812M,HYD QUER-NA 74830
04815M,HYD QUER-NA 74833
042341,HYD SER BENI GAKU
042345,HYD SER BENI GAKU
042031,HYD SER BLUEBIRD
042032,HYD SER BLUEBIRD
042033,HYD SER BLUEBIRD
042035,HYD SER BLUEBIRD
042485,HYD SER PREZIOSA
080961S,HYD SER TUFF STUFF TM PPAF
080962S,HYD SER TUFF STUFF TM PPAF
042365,HYD SER WOODLANDER
056485,HYD SERRATA CHIRI-SAN SUE (DH)
028321,HYD VAUGHN'S LILLIE R PP12982
028322,HYD VAUGHN'S LILLIE R PP12982
028325,HYD VAUGHN'S LILLIE R PP12982
065381,HYPERICUM AN IGNITE RED P19468
065385,HYPERICUM AN IGNITE RED P19468
029932,HYPERICUM AND GOLDEN TUTSAN
042121,HYPERICUM CALYCINUM
042131,HYPERICUM FRONDOSUM SUNBURST
042132,HYPERICUM FRONDOSUM SUNBURST
042135,HYPERICUM FRONDOSUM SUNBURST
026222,HYPERICUM K GEMO
080891S,HYPERICUM KAL BLUE & GOLD PPAF
080892S,HYPERICUM KAL BLUE & GOLD PPAF
007471,HYPERICUM PATULUM SUNGOLD
074621S,HYPERICUM SUNNY BLVD TM P20045
074622S,HYPERICUM SUNNY BLVD TM P20045
074625,HYPERICUM SUNNY BLVD TM P20045
02557UT,HYPERICUM X MOS TRICOLOR
04222UT,IBERIS SEMP LITTLE GEM
042221,IBERIS SEMP LITTLE GEM
081981,IBERIS SEMP PINK ICE
090981,IBERIS SEMP PURITY
042201,IBERIS SEMP SNOWFLAKE
042601PT,ILEX AQ ARGENTEOMARGINATA
042605,ILEX AQ ARGENTEOMARGINATA
042605PT,ILEX AQ ARGENTEOMARGINATA
042607,ILEX AQ ARGENTEOMARGINATA
042609,ILEX AQ ARGENTEOMARGINATA
043052,ILEX AQ GOLD COAST R
043055,ILEX AQ GOLD COAST R
043057,ILEX AQ GOLD COAST R
007481,ILEX COR CARISSA
007482,ILEX COR CARISSA
007483,ILEX COR CARISSA
007487,ILEX COR CARISSA
044003,ILEX COR DWARF BURFORD
044007,ILEX COR DWARF BURFORD
007493,ILEX COR NEEDLEPOINT
007495,ILEX COR NEEDLEPOINT
007497,ILEX COR NEEDLEPOINT
007499,ILEX COR NEEDLEPOINT
007515,ILEX CREN BENNETT'S COMPACT
044503,ILEX CREN COMPACTA
044507,ILEX CREN COMPACTA
007533,ILEX CREN GREEN LUSTRE
044902,ILEX CREN HELLERI
044931,ILEX CREN SKY PENCIL(SKY SNTRY
044932,ILEX CREN SKY PENCIL(SKY SNTRY
044935,ILEX CREN SKY PENCIL(SKY SNTRY
044937,ILEX CREN SKY PENCIL(SKY SNTRY
044939,ILEX CREN SKY PENCIL(SKY SNTRY
074915,ILEX CREN SKY POINTER PP20049
007591,ILEX CREN SOFT TOUCH
007592,ILEX CREN SOFT TOUCH
007593,ILEX CREN SOFT TOUCH
007595,ILEX CREN SOFT TOUCH
044945,ILEX CREN STEEDS UPRIGHT
044947,ILEX CREN STEEDS UPRIGHT
044949,ILEX CREN STEEDS UPRIGHT
045111,ILEX GLA NORDIC TM
045112,ILEX GLA NORDIC TM
045115,ILEX GLA NORDIC TM
045025,ILEX GLABRA COMPACTA
007621,ILEX GLABRA DENSA
007622,ILEX GLABRA DENSA
03474M,ILEX MARIA HERRERA (PPAF)
045695,ILEX V SOUTHERN GENTLEMAN(MALE
045685,ILEX VERT AFTERGLOW (FEMALE)
045705,ILEX VERT JIM DANDY
007725,ILEX VERT SPARKLEBERRY
007743,ILEX VOM BORDEAUX TM
046095,ILEX VOM PENDULA
046095ST,ILEX VOM PENDULA
046099,ILEX VOM PENDULA
046201,ILEX VOM STOKES DWARF
046202,ILEX VOM STOKES DWARF
046203,ILEX VOM STOKES DWARF
046205,ILEX VOM STOKES DWARF
045901,ILEX X (H635-13)
045905,ILEX X (H635-13)
045891,ILEX X (H745-64)
045895,ILEX X (H745-64)
007869,ILEX X ATTENUATA SAVANNAH
007869TR,ILEX X ATTENUATA SAVANNAH
00786X,ILEX X ATTENUATA SAVANNAH
045122,ILEX X BERRI-MAGIC R CHINA
045125,ILEX X BERRI-MAGIC R CHINA
045127,ILEX X BERRI-MAGIC R CHINA
045092,ILEX X BERRI-MAGIC R KIDS
045095,ILEX X BERRI-MAGIC R KIDS
045097,ILEX X BERRI-MAGIC R KIDS
045132,ILEX X BERRI-MAGIC R ROYALTY
045135,ILEX X BERRI-MAGIC R ROYALTY
045082,ILEX X BLUE BOY
045085,ILEX X BLUE BOY
045102,ILEX X BLUE GIRL
045105,ILEX X BLUE GIRL
045162,ILEX X BLUE PRINCE
045165,ILEX X BLUE PRINCE
045172,ILEX X BLUE PRINCESS
045175,ILEX X BLUE PRINCESS
074952S,ILEX X CASTLE SPIRE R PP14310
074955,ILEX X CASTLE SPIRE R PP14310
074942S,ILEX X CASTLE WALL TM PP14308
074945,ILEX X CASTLE WALL TM PP14308
045203,ILEX X CHINA BOY R
045243,ILEX X CHINA GIRL R
092652,ILEX X EMRLD COLONNADE TM PPAF
092655,ILEX X EMRLD COLONNADE TM PPAF
092655P2,ILEX X EMRLD COLONNADE TM PPAF
092657,ILEX X EMRLD COLONNADE TM PPAF
09265MSP,ILEX X EMRLD COLONNADE TM PPAF
007899,ILEX X FESTIVE TM P9498
00789X,ILEX X FESTIVE TM P9498
031155,ILEX X HONEY MAID PP12060
045351,ILEX X LITTLE RASCAL R P9999
045351S,ILEX X LITTLE RASCAL R P9999
045352,ILEX X LITTLE RASCAL R P9999
045353,ILEX X LITTLE RASCAL R P9999
007929,ILEX X LITTLE RED TM P9484
045305,ILEX X NELLIE R STEVENS
045307,ILEX X NELLIE R STEVENS
045309,ILEX X NELLIE R STEVENS
04530X,ILEX X NELLIE R STEVENS
007945,ILEX X OAK LEAF TM P9487
007947,ILEX X OAK LEAF TM P9487
007949,ILEX X OAK LEAF TM P9487
00794X,ILEX X OAK LEAF TM P9487
019651,ILEX X RED BEAUTY R PP14750
019651S,ILEX X RED BEAUTY R PP14750
019652,ILEX X RED BEAUTY R PP14750
019655,ILEX X RED BEAUTY R PP14750
019657,ILEX X RED BEAUTY R PP14750
007977,ILEX X ROBIN TM P9486
007979,ILEX X ROBIN TM P9486
00797X,ILEX X ROBIN TM P9486
023965,ILEX X SANTA'S DELIGHT R
023967,ILEX X SANTA'S DELIGHT R
023969,ILEX X SANTA'S DELIGHT R
021091,ILEX X SCALLYWAG TM PP21941
021092,ILEX X SCALLYWAG TM PP21941
021093,ILEX X SCALLYWAG TM PP21941
021095,ILEX X SCALLYWAG TM PP21941
02109M,ILEX X SCALLYWAG TM PP21941
007983,ILLICIUM PARVIFLORUM
007987,ILLICIUM PARVIFLORUM
007989,ILLICIUM PARVIFLORUM
042951,INDIGOFERA AUTUMNALIS
042955,INDIGOFERA AUTUMNALIS
045952,INDIGOFERA KIRILOWII
045955,INDIGOFERA KIRILOWII
07248UT,IPOMOEA BATATAS MARGARITA
046021,IPOMOEA INDICA BLUE DAWN
00875UT,IRIS 'BANBURY RUFFLES'
008751,IRIS 'BANBURY RUFFLES'
015391,IRIS BOUNTIFUL HARVEST
015381,IRIS CELESTIAL EXPLOSION
016461,IRIS EN BUTTERFLIES IN FLIGHT
016461S,IRIS EN BUTTERFLIES IN FLIGHT
016471,IRIS EN CASCADE SPICE
016471S,IRIS EN CASCADE SPICE
044011,IRIS EN VARIEGATA
044015,IRIS EN VARIEGATA
008901,IRIS 'EYEBRIGHT'
008671,IRIS GERM BUCKWHEAT
008621,IRIS GERM DIABOLIQUE
008641,IRIS GERM 'GOODNIGHT MOON'
00866UT,IRIS GERM HERE COMES THE SUN
00861UT,IRIS GERM 'MERLOT'
00860UT,IRIS GERM SWINGTOWN
00865UT,IRIS GERM TRUMPET CALL
06207UT,IRIS GERMANICA AUTUMN CIRCUS
062071,IRIS GERMANICA AUTUMN CIRCUS
06208UT,IRIS GERMANICA GYPSY ROMANCE
062081,IRIS GERMANICA GYPSY ROMANCE
06209UT,IRIS GERMANICA SUGAR BLUES
062091,IRIS GERMANICA SUGAR BLUES
015431,IRIS GRATEFUL RED
015371,IRIS HOLLYWOOD NIGHTS
015401,IRIS LAST HURRAH
00907UT,IRIS 'MARKSMAN'
015421,IRIS NOUVEAU RICHE
045981,IRIS PALLIDA VARIEGATA
062101,IRIS PSEUDACORUS
008081,IRIS PSEUDACORUS VARIEGATA
015451,IRIS RIP CITY
025831,IRIS SAMURAI WARRIOR
046361,IRIS SIB BENNERUP BLUE
046365,IRIS SIB BENNERUP BLUE
046441,IRIS SIB CAESAR'S BROTHER
046445,IRIS SIB CAESAR'S BROTHER
046101,IRIS SIB CHILLED WINE
046105,IRIS SIB CHILLED WINE
038391,IRIS SIB DANCING NANOU
046471,IRIS SIB ERIC THE RED
046475,IRIS SIB ERIC THE RED
046011,IRIS SIB RUFFLED VELVET
046015,IRIS SIB RUFFLED VELVET
015441,IRIS SPARTAN
00895UT,IRIS 'SUN DOLL'
029431,IRIS X IMMORTATILTY
02944UT,IRIS X WELL ENDOWED
029441,IRIS X WELL ENDOWED
06204UT,ISOTOMA FLUVIATILIS
046501,ITEA VIR HENRYS GARNET
046502,ITEA VIR HENRYS GARNET
046505,ITEA VIR HENRYS GARNET
046491S,ITEA VIR LITTLE HENRY R P10988
046492S,ITEA VIR LITTLE HENRY R P10988
046495,ITEA VIR LITTLE HENRY R P10988
046355,JACARANDA MIMOSIFOLIA
046451,JASMINUM FLORIDUM
046455,JASMINUM FLORIDUM
046551,JASMINUM NITIDUM
046555,JASMINUM NITIDUM
008121,JASMINUM NUDIFLORUM
008123,JASMINUM NUDIFLORUM
046581,JASMINUM POLYANTHUM
046585,JASMINUM POLYANTHUM
071781,JASMINUM SAMBAC
071782,JASMINUM SAMBAC
046631,JASMINUM SAMBAC GRAND DUKE
046631ST,JASMINUM SAMBAC GRAND DUKE
046632,JASMINUM SAMBAC GRAND DUKE
046632ST,JASMINUM SAMBAC GRAND DUKE
080741,JASMINUM SAMBAC HEIDI TZIOROS
046661,JATROPHA INT COMPACTA
046665,JATROPHA INT COMPACTA
046665PT,JATROPHA INT COMPACTA
054671,JATROPHA INT COMPACTA PINK
054675,JATROPHA INT COMPACTA PINK
054675PT,JATROPHA INT COMPACTA PINK
046805,JUN C ARMSTRONGII
046871,JUN C BLUE POINT
046872,JUN C BLUE POINT
046875,JUN C BLUE POINT
046877,JUN C BLUE POINT
046879,JUN C BLUE POINT
084651,JUN C DAUB'S FROSTED
084652,JUN C DAUB'S FROSTED
084655,JUN C DAUB'S FROSTED
084655PT,JUN C DAUB'S FROSTED
08465M,JUN C DAUB'S FROSTED
046901,JUN C GOLD COAST R
046901S,JUN C GOLD COAST R
046902,JUN C GOLD COAST R
046905,JUN C GOLD COAST R
046905TB,JUN C GOLD COAST R
047505,JUN C HETZII COLUMN
047505P2,JUN C HETZII COLUMN
047505P3,JUN C HETZII COLUMN
047505SP,JUN C HETZII COLUMN
047507,JUN C HETZII COLUMN
047507P3,JUN C HETZII COLUMN
047507SP,JUN C HETZII COLUMN
047509,JUN C HETZII COLUMN
047509P3,JUN C HETZII COLUMN
047509SP,JUN C HETZII COLUMN
04750MSP,JUN C HETZII COLUMN
04750X,JUN C HETZII COLUMN
04750Z,JUN C HETZII COLUMN
04750ZSD,JUN C HETZII COLUMN
04750ZSP,JUN C HETZII COLUMN
047601,JUN C HETZII GLAUCA
047602,JUN C HETZII GLAUCA
047602PP,JUN C HETZII GLAUCA
047605,JUN C HETZII GLAUCA
047605PP,JUN C HETZII GLAUCA
047607PP,JUN C HETZII GLAUCA
047609PP,JUN C HETZII GLAUCA
048001,JUN C MINT JULEP R
048002,JUN C MINT JULEP R
048002P2,JUN C MINT JULEP R
048002PP,JUN C MINT JULEP R
048002SP,JUN C MINT JULEP R
048002TB,JUN C MINT JULEP R
048005,JUN C MINT JULEP R
048005ES,JUN C MINT JULEP R
048005GL,JUN C MINT JULEP R
048005OP,JUN C MINT JULEP R
048005PP,JUN C MINT JULEP R
048005SP,JUN C MINT JULEP R
048005ST,JUN C MINT JULEP R
048005TB,JUN C MINT JULEP R
048005TD,JUN C MINT JULEP R
048007,JUN C MINT JULEP R
048007PP,JUN C MINT JULEP R
048007SP,JUN C MINT JULEP R
048009,JUN C MINT JULEP R
048009PP,JUN C MINT JULEP R
048009SP,JUN C MINT JULEP R
04800FSP,JUN C MINT JULEP R
0480022BT,"JUN C MINT JULEP R ""CAPRI"""
0480052BT,"JUN C MINT JULEP R ""CAPRI"""
048005RT,"JUN C MINT JULEP R ""FIRENZE"""
048005RS,"JUN C MINT JULEP R ""PISA"""
048002SB,"JUN C MINT JULEP R ""VERONA"""
048301,JUN C PFITZERIANA GLAUCA
048305,JUN C PFITZERIANA GLAUCA
048305OP,JUN C PFITZERIANA GLAUCA
048305SP,JUN C PFITZERIANA GLAUCA
048305ST,JUN C PFITZERIANA GLAUCA
048405,JUN C ROBUSTA GREEN
048405OP,JUN C ROBUSTA GREEN
048407,JUN C ROBUSTA GREEN
048451,JUN C SAN JOSE
048451BO,JUN C SAN JOSE
048452,JUN C SAN JOSE
048452BO,JUN C SAN JOSE
048452OP,JUN C SAN JOSE
048452P3,JUN C SAN JOSE
048455BO,JUN C SAN JOSE
048455OP,JUN C SAN JOSE
048455P3,JUN C SAN JOSE
048457BO,JUN C SAN JOSE
008241,JUN C SARGENTII
008243,JUN C SARGENTII
048131,JUN C SEA OF GOLD R PP17622
048131S,JUN C SEA OF GOLD R PP17622
048132,JUN C SEA OF GOLD R PP17622
048132P2,JUN C SEA OF GOLD R PP17622
048132SP,JUN C SEA OF GOLD R PP17622
048132TB,JUN C SEA OF GOLD R PP17622
048135,JUN C SEA OF GOLD R PP17622
048135TB,JUN C SEA OF GOLD R PP17622
04813M,JUN C SEA OF GOLD R PP17622
047301,JUN C SPARTAN
047305,JUN C SPARTAN
047305P2,JUN C SPARTAN
047305SP,JUN C SPARTAN
047307,JUN C SPARTAN
047307P3,JUN C SPARTAN
047307SD,JUN C SPARTAN
047307SP,JUN C SPARTAN
047309,JUN C SPARTAN
047309SD,JUN C SPARTAN
047309SP,JUN C SPARTAN
04730FSP,JUN C SPARTAN
04730M,JUN C SPARTAN
04730SSP,JUN C SPARTAN
04730Z,JUN C SPARTAN
048702,JUN C TORULOSA
048705,JUN C TORULOSA
048705ES,JUN C TORULOSA
048705OP,JUN C TORULOSA
048707,JUN C TORULOSA
048707ES,JUN C TORULOSA
048707OP,JUN C TORULOSA
048709,JUN C TORULOSA
048709OP,JUN C TORULOSA
04870ZOP,JUN C TORULOSA
020245,JUN CEDRUS
049031,JUN COM ALPINE CARPET R
049032,JUN COM ALPINE CARPET R
049035,JUN COM ALPINE CARPET R
084901,JUN COMMUNIS VAR MONTANA
084905,JUN COMMUNIS VAR MONTANA
084905ST,JUN COMMUNIS VAR MONTANA
049101,JUN CON BLUE PACIFIC
049102,JUN CON BLUE PACIFIC
049103,JUN CON BLUE PACIFIC
049105,JUN CON BLUE PACIFIC
047771,JUN H BILLOW BEACH PPAF
047775,JUN H BILLOW BEACH PPAF
049251,JUN H BLUE CHIP
049252,JUN H BLUE CHIP
049255,JUN H BLUE CHIP
049255PT,JUN H BLUE CHIP
077471S,JUN H GOOD VIBRTNS TM GLD PAF
049701,JUN H HUGHES
049705,JUN H HUGHES
04990UT,JUN H ICEE BLUE R P9639
049901,JUN H ICEE BLUE R P9639
049901S,JUN H ICEE BLUE R P9639
049902,JUN H ICEE BLUE R P9639
049903,JUN H ICEE BLUE R P9639
049905,JUN H ICEE BLUE R P9639
049905PT,JUN H ICEE BLUE R P9639
050301,JUN H PRINCE OF WALES
050302,JUN H PRINCE OF WALES
050305,JUN H PRINCE OF WALES
050701,JUN H WILTONII
050702,JUN H WILTONII
050705,JUN H WILTONII
050201,JUN H YOUNGSTOWN
050202,JUN H YOUNGSTOWN
050205,JUN H YOUNGSTOWN
050901,JUN PRO NANA
050901S,JUN PRO NANA
050901ST,JUN PRO NANA
050902,JUN PRO NANA
050902OP,JUN PRO NANA
050902ST,JUN PRO NANA
050902TB,JUN PRO NANA
050902TT,JUN PRO NANA
050903,JUN PRO NANA
050905,JUN PRO NANA
050905OP,JUN PRO NANA
050905PT,JUN PRO NANA
050905ST,JUN PRO NANA
050907ST,JUN PRO NANA
051401,JUN SA ARCADIA
051402,JUN SA ARCADIA
051405,JUN SA ARCADIA
051601,JUN SA BROADMOOR
051602,JUN SA BROADMOOR
051605,JUN SA BROADMOOR
051701,JUN SA BUFFALO
051702,JUN SA BUFFALO
051705,JUN SA BUFFALO
051751,JUN SA CALGARY CARPET R
051752,JUN SA CALGARY CARPET R
051755,JUN SA CALGARY CARPET R
051651,JUN SA MOOR-DENSE R
051652,JUN SA MOOR-DENSE R
051655,JUN SA MOOR-DENSE R
051801,JUN SA SCANDIA
051802,JUN SA SCANDIA
051805,JUN SA SCANDIA
051901,JUN SA TAMARISCIFOLIA
051902,JUN SA TAMARISCIFOLIA
051905,JUN SA TAMARISCIFOLIA
052001,JUN SA TAMARISCIFOLIA NEW BLUE
052002,JUN SA TAMARISCIFOLIA NEW BLUE
052005,JUN SA TAMARISCIFOLIA NEW BLUE
051305,JUN SABINA
052151,JUN SC BLUE CREEPER R
052152,JUN SC BLUE CREEPER R
052155,JUN SC BLUE CREEPER R
052305,JUN SC COLOGREEN
052307,JUN SC COLOGREEN
052505,JUN SC GRAY GLEAM
052507,JUN SC GRAY GLEAM
052705,JUN SC MEDORA
052705P2,JUN SC MEDORA
052705SP,JUN SC MEDORA
052707,JUN SC MEDORA
052707SP,JUN SC MEDORA
052709,JUN SC MEDORA
05270Z,JUN SC MEDORA
05270ZSD,JUN SC MEDORA
05270ZSP,JUN SC MEDORA
052755,JUN SC MOONGLOW
052755SP,JUN SC MOONGLOW
052757,JUN SC MOONGLOW
052759,JUN SC MOONGLOW
054001,JUN SC SKYROCKET
054005,JUN SC SKYROCKET
054007,JUN SC SKYROCKET
054009,JUN SC SKYROCKET
05400M,JUN SC SKYROCKET
053001,JUN SC TABLE TOP BLUE
053005,JUN SC TABLE TOP BLUE
053105PT,JUN SC TOLL BLU WEEPING
053107PT,JUN SC TOLL BLU WEEPING
053109PT,JUN SC TOLL BLU WEEPING
053301,JUN SC WICHITA BLUE
053302,JUN SC WICHITA BLUE
053305,JUN SC WICHITA BLUE
053307,JUN SC WICHITA BLUE
053309,JUN SC WICHITA BLUE
05330M,JUN SC WICHITA BLUE
045865,JUN SC WINTER BLUE
05339UT,JUN SQUA BLUE STAR
053391,JUN SQUA BLUE STAR
053391S,JUN SQUA BLUE STAR
053392,JUN SQUA BLUE STAR
053395,JUN SQUA BLUE STAR
053395PT,JUN SQUA BLUE STAR
053401,JUN SQUA EXPANSA PARSONII
053403,JUN SQUA EXPANSA PARSONII
053451,JUN SQUA HOLGER
053455,JUN SQUA HOLGER
053651,JUN V BLUE ARROW
053655,JUN V BLUE ARROW
053659,JUN V BLUE ARROW
05365M,JUN V BLUE ARROW
05365Z,JUN V BLUE ARROW
053705,JUN V CUPRESSIFOLIA
053707,JUN V CUPRESSIFOLIA
054141,JUN V GREY OWL
054143,JUN V GREY OWL
054145,JUN V GREY OWL
053755,JUN V IDYLLWILD
053759,JUN V IDYLLWILD
053855,JUN V PRAIRIE PILLAR R
036845,JUN V TAYLOR
03684M,JUN V TAYLOR
07181UT,JUNCUS EFFUSUS CURLY WURLY
071811,JUNCUS EFFUSUS CURLY WURLY
054091,JUSTICIA BRANDEGEANA
069402,KALANCHOE THYR DESERT ROSE
06206UT,KALIMERIS INCISA BLUE STAR
054162,KALMIA LAT ELF
054232,KALMIA LAT MINUET
054062,KALMIA LAT NATHAN HALE
054072,KALMIA LAT OLYMPIC FIRE
054082,KALMIA LAT TIDDLYWINKS
008772,KERRIA J GOLDEN GUINEA
054191,KERRIA J PLENIFLORA
054192,KERRIA J PLENIFLORA
054195,KERRIA J PLENIFLORA
093182,KIRENGESHOMA PALMATA
021571,KNAUTIA MAC MARS MIDGET
080251,KNIPH MANGO POPSICLE TM PPAF
080261,KNIPH PINEAPPL POPSICLE TM PAF
080271,KNIPH REDHOT POPSICLE TM PPAF
06215UT,KNIPHOFIA BORDER BALLET
043121,KNIPHOFIA HIR FIRE DANCE
094702,KNIPHOFIA MOONSTONE
094711,KNIPHOFIA NANCY'S RED
094712,KNIPHOFIA NANCY'S RED
054222,KNIPHOFIA UV FLAMENCO
054255,KOELREUTERIA BIPINNATA
054205,KOELREUTERIA PANICULATA
074661S,KOLKWITZIA AMA DREAM CATCHR TM
074662S,KOLKWITZIA AMA DREAM CATCHR TM
054305,KOLKWITZIA AMABILIS
036255,LABURNUM ANA COLUMNARIS
03625M,LABURNUM ANA COLUMNARIS
054335,LABURNUM X WAT VOSSII
028431,LAG ARAPAHO
028435,LAG ARAPAHO
028435TR,LAG ARAPAHO
028437TR,LAG ARAPAHO
029815,LAG BURGUNDY COTTON R PP14438
029817,LAG BURGUNDY COTTON R PP14438
029819,LAG BURGUNDY COTTON R PP14438
029819BH,LAG BURGUNDY COTTON R PP14438
054701,LAG CATAWBA
054705,LAG CATAWBA
054705TR,LAG CATAWBA
054707,LAG CATAWBA
054707TR,LAG CATAWBA
054709,LAG CATAWBA
054709B,LAG CATAWBA
054761,LAG CENTENNIAL SPIRIT
054765,LAG CENTENNIAL SPIRIT
054765TR,LAG CENTENNIAL SPIRIT
054767TR,LAG CENTENNIAL SPIRIT
054769,LAG CENTENNIAL SPIRIT
041901,LAG CHERRY DAZZLE R PP16917
041905,LAG CHERRY DAZZLE R PP16917
028441,LAG CHEYENNE
028445,LAG CHEYENNE
028445PT,LAG CHEYENNE
028445TR,LAG CHEYENNE
054922,LAG CHICA R RED
054925,LAG CHICA R RED
008792,LAG CHICKASAW
008793,LAG CHICKASAW
037375,LAG DAZZLE R ME PINK PP17411
008861,LAG DYNAMITE R P10296
008865,LAG DYNAMITE R P10296
008865PT,LAG DYNAMITE R P10296
008865TR,LAG DYNAMITE R P10296
008867,LAG DYNAMITE R P10296
008869,LAG DYNAMITE R P10296
008869BH,LAG DYNAMITE R P10296
055101,LAG GLENDORA WHITE
055105TR,LAG GLENDORA WHITE
055107TR,LAG GLENDORA WHITE
008895,LAG MUSKOGEE
008897,LAG MUSKOGEE
008899,LAG MUSKOGEE
008899PT,LAG MUSKOGEE
00889X,LAG MUSKOGEE
008991,LAG NATCHEZ
008995,LAG NATCHEZ
008995TR,LAG NATCHEZ
008997,LAG NATCHEZ
008999,LAG NATCHEZ
