Item#,Item#,Size,Size Description,Item Description,Common
009093PT,909,3PT,#3 PATIO TREE,LANTANA NEW GOLD,New Gold Lantana
009095PT,909,5PT,#5 PATIO TREE,LANTANA NEW GOLD,New Gold Lantana
056881,5688,1,#1,LANTANA PAT TM RAINBOW PP9837,Patriot ™ Rainbow Compact Lantana
057231,5723,1,#1,LANTANA S LAVENDER SWIRL R,Lavender Swirl ® Trailing Lantana
057231SPT,5723,1SPT,SuperOne TM PATIO TR,LANTANA S LAVENDER SWIRL R,Lavender Swirl ® Trailing Lantana
057031,5703,1,#1,LANTANA S WHITE LIGHTNIN' R,White Lightnin' ® Trailing Lantana
057251,5725,1,#1,LANTANA SELLOWIANA (MONTEVDNS),Trailing Lantana
057051,5705,1,#1,LANTANA SPREADING SUNSET R,Spreading Sunset ® Lantana
057052,5705,2,#2,LANTANA SPREADING SUNSET R,Spreading Sunset ® Lantana
057052ST,5705,2ST,#2 STAKED,LANTANA SPREADING SUNSET R,Spreading Sunset ® Lantana
057055PT,5705,5PT,#5 PATIO TREE,LANTANA SPREADING SUNSET R,Spreading Sunset ® Lantana
057102ST,5710,2ST,#2 STAKED,LANTANA SPREADING SUNSHINE R,Spreading Sunshine ® Lantana
057103PT,5710,3PT,#3 PATIO TREE,LANTANA SPREADING SUNSHINE R,Spreading Sunshine ® Lantana
057105PT,5710,5PT,#5 PATIO TREE,LANTANA SPREADING SUNSHINE R,Spreading Sunshine ® Lantana
057151,5715,1,#1,LANTANA SUNBURST TM,Sunburst ™ Spreading Lantana
057153PT,5715,3PT,#3 PATIO TREE,LANTANA SUNBURST TM,Sunburst ™ Spreading Lantana
057155PT,5715,5PT,#5 PATIO TREE,LANTANA SUNBURST TM,Sunburst ™ Spreading Lantana
057201,5720,1,#1,LANTANA TANGERINE TM,Tangerine ™ Spreading Lantana
057201SPT,5720,1SPT,SuperOne TM PATIO TR,LANTANA TANGERINE TM,Tangerine ™ Spreading Lantana
057202,5720,2,#2,LANTANA TANGERINE TM,Tangerine ™ Spreading Lantana
057202ST,5720,2ST,#2 STAKED,LANTANA TANGERINE TM,Tangerine ™ Spreading Lantana
057203PT,5720,3PT,#3 PATIO TREE,LANTANA TANGERINE TM,Tangerine ™ Spreading Lantana
057205PT,5720,5PT,#5 PATIO TREE,LANTANA TANGERINE TM,Tangerine ™ Spreading Lantana
024461,2446,1,#1,LANTANA TEENIE GENIE R PP17612,Teenie Genie ® Compact Lantana
024461SPT,2446,1SPT,SuperOne TM PATIO TR,LANTANA TEENIE GENIE R PP17612,Teenie Genie ® Compact Lantana
024462,2446,2,#2,LANTANA TEENIE GENIE R PP17612,Teenie Genie ® Compact Lantana
024465PT,2446,5PT,#5 PATIO TREE,LANTANA TEENIE GENIE R PP17612,Teenie Genie ® Compact Lantana
02446E,2446,E,"7"" Terra Cotta",LANTANA TEENIE GENIE R PP17612,Teenie Genie ® Compact Lantana
057265,5726,5,#5,LARIX DECIDUA,European Larch
057275,5727,5,#5,LARIX DECIDUA PENDULA,Weeping European Larch
057277,5727,7,#7,LARIX DECIDUA PENDULA,Weeping European Larch
052565,5256,5,#5,LARIX KAEMPHERI DIANA,Diana Japanese Larch
052567,5256,7,#7,LARIX KAEMPHERI DIANA,Diana Japanese Larch
053425,5342,5,#5,LARIX LARICINA BLUE SPARKLER,Blue Sparkler Larch
05342M,5342,M,#10 Squat,LARIX LARICINA BLUE SPARKLER,Blue Sparkler Larch
080551,8055,1,#1,LAURENTIA AX DEJA BLUE TM,Deja Blue Star Flower
05729UT,5729,UT,LittleOne,LAURUS NOBILIS,Sweet Bay
057291,5729,1,#1,LAURUS NOBILIS,Sweet Bay
057292PT,5729,2PT,#2 PATIO TREE,LAURUS NOBILIS,Sweet Bay
057295,5729,5,#5,LAURUS NOBILIS,Sweet Bay
057295PT,5729,5PT,#5 PATIO TREE,LAURUS NOBILIS,Sweet Bay
057295PY,5729,5PY,#5 CONE,LAURUS NOBILIS,Sweet Bay
05729E,5729,E,"7"" Terra Cotta",LAURUS NOBILIS,Sweet Bay
05729ECN,5729,ECN,"7"" Terra Cotta CONE",LAURUS NOBILIS,Sweet Bay
05729EGL,5729,EGL,"7"" Terra Cotta GLOBE",LAURUS NOBILIS,Sweet Bay
05729EPT,5729,EPT,"7"" Terra Cotta PATIO",LAURUS NOBILIS,Sweet Bay
05729EPY,5729,EPY,"7"" Terra Cotta CONE",LAURUS NOBILIS,Sweet Bay
05729EST,5729,EST,"7"" Terra Cotta STAKE",LAURUS NOBILIS,Sweet Bay
02147UT,2147,UT,LittleOne,LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
021471,2147,1,#1,LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
021471S,2147,1S,SuperOne TM,LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
021472,2147,2,#2,LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
021475,2147,5,#5,LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
02147E,2147,E,"7"" Terra Cotta",LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
02147EPT,2147,EPT,"7"" Terra Cotta PATIO",LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
02147M,2147,M,#10 Squat,LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
02147S,2147,S,"18"" Pot",LAURUS NOBILIS EMERALD WAVE R,Emerald Wave ® Sweet Bay
068231,6823,1,#1,LAVANDULA ANG ASHDOWN FOREST,
068211,6821,1,#1,LAVANDULA ANG FOLEGATE,
009161,916,1,#1,LAVANDULA ANG HIDCOTE,Hidcote Blue English Lavender
00916E,916,E,"7"" Terra Cotta",LAVANDULA ANG HIDCOTE,Hidcote Blue English Lavender
018211,1821,1,#1,LAVANDULA ANG HIDCOTE SUPERIOR,Hidcote Superior English Lavender
018212,1821,2,#2,LAVANDULA ANG HIDCOTE SUPERIOR,Hidcote Superior English Lavender
068221,6822,1,#1,LAVANDULA ANG MELISSA LILAC,
05731UT,5731,UT,LittleOne,LAVANDULA ANG MUNSTEAD,Munstead Lavender
057311,5731,1,#1,LAVANDULA ANG MUNSTEAD,Munstead Lavender
057312,5731,2,#2,LAVANDULA ANG MUNSTEAD,Munstead Lavender
05731E,5731,E,"7"" Terra Cotta",LAVANDULA ANG MUNSTEAD,Munstead Lavender
057321,5732,1,#1,LAVANDULA DEN CANDICANS,French Lavender
057391,5739,1,#1,LAVANDULA DEN GOODWIN CRK GRAY,Goodwin Creek Gray Lavender
057392,5739,2,#2,LAVANDULA DEN GOODWIN CRK GRAY,Goodwin Creek Gray Lavender
028491,2849,1,#1,LAVANDULA LEMON LEIGH PP16600,Lemon Leigh Spanish Lavender
017891,1789,1,#1,LAVANDULA PIN BUCHII,Jagged Lavender
017841,1784,1,#1,LAVANDULA STO HAZEL PP20894,Hazel ™ Spanish Lavender
017842,1784,2,#2,LAVANDULA STO HAZEL PP20894,Hazel ™ Spanish Lavender
017845,1784,5,#5,LAVANDULA STO HAZEL PP20894,Hazel ™ Spanish Lavender
05736UT,5736,UT,LittleOne,LAVANDULA STO OTTO QUAST,Otto Quast Spanish Lavender
026591,2659,1,#1,LAVANDULA STO WINTERBEE P20840,Winter Bee Spanish Lavender
026592,2659,2,#2,LAVANDULA STO WINTERBEE P20840,Winter Bee Spanish Lavender
026595,2659,5,#5,LAVANDULA STO WINTERBEE P20840,Winter Bee Spanish Lavender
068201,6820,1,#1,LAVANDULA STO X VIR BALLERINA,
068191,6819,1,#1,LAVANDULA STO X VIR FATHEAD,
068181,6818,1,#1,LAVANDULA STO X VIR RGL SPLNDR,Regal Splendour Lavender
068182,6818,2,#2,LAVANDULA STO X VIR RGL SPLNDR,Regal Splendour Lavender
02848UT,2848,UT,LittleOne,LAVANDULA THUMBELINA LE P15231,Thumbelina Leigh English Lavender
028481,2848,1,#1,LAVANDULA THUMBELINA LE P15231,Thumbelina Leigh English Lavender
02848E,2848,E,"7"" Terra Cotta",LAVANDULA THUMBELINA LE P15231,Thumbelina Leigh English Lavender
02848EGL,2848,EGL,"7"" Terra Cotta GLOBE",LAVANDULA THUMBELINA LE P15231,Thumbelina Leigh English Lavender
04097UT,4097,UT,LittleOne,LAVANDULA X INT GROSSO,Fat Bud French Lavender
040971,4097,1,#1,LAVANDULA X INT GROSSO,Fat Bud French Lavender
02813UT,2813,UT,LittleOne,LAVANDULA X INT PROVENCE,Provence French Lavender
028131,2813,1,#1,LAVANDULA X INT PROVENCE,Provence French Lavender
028132,2813,2,#2,LAVANDULA X INT PROVENCE,Provence French Lavender
057401,5740,1,#1,LAVATERA MARITIMA,Tree Mallow
057405,5740,5,#5,LAVATERA MARITIMA,Tree Mallow
057421,5742,1,#1,LAVATERA THUR BARNSLEY,BARNSLEY TREE MALLOW
02148UT,2148,UT,LittleOne,LEONTOPODIUM ALPINUM,Edelweiss
021481,2148,1,#1,LEONTOPODIUM ALPINUM,Edelweiss
06219UT,6219,UT,LittleOne,LEPTINELLA GRUVERI,Miniature Brass Buttons
06224UT,6224,UT,LittleOne,LEPTINELLA X PLATT'S BLACK,Platt's Black Brass Buttons
020771,2077,1,#1,LEPTODERMIS OBLONGA,Himalayan Leptodermis
020772,2077,2,#2,LEPTODERMIS OBLONGA,Himalayan Leptodermis
057491,5749,1,#1,LEPTOSPERMUM NANUM RURU,Dwarf New Zealand Tea Tree
057492,5749,2,#2,LEPTOSPERMUM NANUM RURU,Dwarf New Zealand Tea Tree
025401,2540,1,#1,LEUCOPHYLLUM C THUNDER CLOUDTM,Thunder Cloud ™ Texas Sage
025402,2540,2,#2,LEUCOPHYLLUM C THUNDER CLOUDTM,Thunder Cloud ™ Texas Sage
025405,2540,5,#5,LEUCOPHYLLUM C THUNDER CLOUDTM,Thunder Cloud ™ Texas Sage
046532,4653,2,#2,LEUCOPHYLLUM LAN BRAVE RIVER,Brave River Texas Ranger
025431,2543,1,#1,LEUCOPHYLLUM LAN LYNN'S LEGACY,Lynn's Legacy Texas Ranger
025432,2543,2,#2,LEUCOPHYLLUM LAN LYNN'S LEGACY,Lynn's Legacy Texas Ranger
025435,2543,5,#5,LEUCOPHYLLUM LAN LYNN'S LEGACY,Lynn's Legacy Texas Ranger
025412,2541,2,#2,LEUCOPHYLLUM LAN RIO BRAVO R,Rio Bravo ® Texas Ranger
025442,2544,2,#2,LEUCOPHYLLUM ZYG CIMARRON R,Cimarron ® Texas Ranger
060321,6032,1,#1,LEUCOSCEPTRUM JAP GOLDEN ANGEL,Golden Angel Japanese Shrub Mint
060322,6032,2,#2,LEUCOSCEPTRUM JAP GOLDEN ANGEL,Golden Angel Japanese Shrub Mint
060325,6032,5,#5,LEUCOSCEPTRUM JAP GOLDEN ANGEL,Golden Angel Japanese Shrub Mint
057702,5770,2,#2,LEUCOTHOE AXILLARIS,Coast Leucothoe
035491,3549,1,#1,LEUCOTHOE FONT NANA,Dwarf Fetterbush
035492,3549,2,#2,LEUCOTHOE FONT NANA,Dwarf Fetterbush
057751,5775,1,#1,LEUCOTHOE FONT RAINBOW,Rainbow Drooping Fetterbush
057752,5775,2,#2,LEUCOTHOE FONT RAINBOW,Rainbow Drooping Fetterbush
044381,4438,1,#1,LEUCOTHOE FONT SCARLETTA R,Scarletta ® Fetterbush
044382,4438,2,#2,LEUCOTHOE FONT SCARLETTA R,Scarletta ® Fetterbush
02085UT,2085,UT,LittleOne,LEWISIA COT LITTLE PLUM,Little Plum Lewisia
05785UT,5785,UT,LittleOne,LEWISIA COT RAINBOW MIX,Hybrid Mix Lewisia
057881,5788,1,#1,LIATRIS SPI KOBOLD,Kobold Gayfeather
094191,9419,1,#1,LIBERTIA TAUPO BLAZE,Taupo Blaze New Zealand Iris
032182,3218,2,#2,LIGULARIA BR M CRAWFORD P16123,Brit Marie Crawford Ligularia
033342,3334,2,#2,LIGULARIA PRZEWALSKI,Ragwort
009281,928,1,#1,LIGULARIA STEN THE ROCKET,Rocket Ligularia
009282,928,2,#2,LIGULARIA STEN THE ROCKET,Rocket Ligularia
022312,2231,2,#2,LIGULARIA TUSS GIGANTEA,Giant Leopard Plant
022315,2231,5,#5,LIGULARIA TUSS GIGANTEA,Giant Leopard Plant
024125PT,2412,5PT,#5 PATIO TREE,LIGUSTRUM JAP JACK FROST,Jack Frost Privet
058151,5815,1,#1,LIGUSTRUM JAP NOBILIS,Noble Privet
058155,5815,5,#5,LIGUSTRUM JAP NOBILIS,Noble Privet
058155PT,5815,5PT,#5 PATIO TREE,LIGUSTRUM JAP NOBILIS,Noble Privet
058157P2,5815,7P2,#7 2BALL POODLE,LIGUSTRUM JAP NOBILIS,Noble Privet
009193,919,3,#3,LIGUSTRUM JAP RECURVIFOLIUM,Curled-Leaf Privet
009197,919,7,#7,LIGUSTRUM JAP RECURVIFOLIUM,Curled-Leaf Privet
009199BH,919,9BH,#15 BUSH,LIGUSTRUM JAP RECURVIFOLIUM,Curled-Leaf Privet
009199TR,919,9TR,#15 TREE,LIGUSTRUM JAP RECURVIFOLIUM,Curled-Leaf Privet
058101,5810,1,#1,LIGUSTRUM JAPONICUM,Japanese Privet
009213,921,3,#3,LIGUSTRUM JAPONICUM VARIEGATUM,Variegated Privet
058201,5820,1,#1,LIGUSTRUM TEXANUM,Waxleaf Privet
058203,5820,3,#3,LIGUSTRUM TEXANUM,Waxleaf Privet
058205,5820,5,#5,LIGUSTRUM TEXANUM,Waxleaf Privet
058205P2,5820,5P2,#5 2BALL POODLE,LIGUSTRUM TEXANUM,Waxleaf Privet
058205PT,5820,5PT,#5 PATIO TREE,LIGUSTRUM TEXANUM,Waxleaf Privet
058205Y2,5820,5Y2,#5 2'PYRAMID,LIGUSTRUM TEXANUM,Waxleaf Privet
058205Y4,5820,5Y4,#5 4'PYRAMID,LIGUSTRUM TEXANUM,Waxleaf Privet
058207,5820,7,#7,LIGUSTRUM TEXANUM,Waxleaf Privet
058207P2,5820,7P2,#7 2BALL POODLE,LIGUSTRUM TEXANUM,Waxleaf Privet
058207P3,5820,7P3,#7 3BALL POODLE,LIGUSTRUM TEXANUM,Waxleaf Privet
058207PT,5820,7PT,#7 PATIO TREE,LIGUSTRUM TEXANUM,Waxleaf Privet
058207Y5,5820,7Y5,#7 5'PYRAMID,LIGUSTRUM TEXANUM,Waxleaf Privet
058209,5820,9,#15 CLUMP,LIGUSTRUM TEXANUM,Waxleaf Privet
058209BH,5820,9BH,#15 BUSH,LIGUSTRUM TEXANUM,Waxleaf Privet
058209P3,5820,9P3,#15 3BALL POODLE,LIGUSTRUM TEXANUM,Waxleaf Privet
058209SP,5820,9SP,#15 SPIRAL,LIGUSTRUM TEXANUM,Waxleaf Privet
058209Y5,5820,9Y5,#15 5'PYRAMID,LIGUSTRUM TEXANUM,Waxleaf Privet
05820MY5,5820,MY5,#10 Squat 5'PYRAMID,LIGUSTRUM TEXANUM,Waxleaf Privet
058401,5840,1,#1,LIGUSTRUM VICARYI,Vicary Golden Privet
058402,5840,2,#2,LIGUSTRUM VICARYI,Vicary Golden Privet
058405,5840,5,#5,LIGUSTRUM VICARYI,Vicary Golden Privet
058451,5845,1,#1,LIGUSTRUM VULGARE LODENSE,Lodense Privet
058455,5845,5,#5,LIGUSTRUM VULGARE LODENSE,Lodense Privet
057901,5790,1,#1,LIGUSTRUM X SUWANNEE RIVER,Suwannee River Privet
057905,5790,5,#5,LIGUSTRUM X SUWANNEE RIVER,Suwannee River Privet
020911,2091,1,#1,LILIUM 'CONCA D' OR',
020921,2092,1,#1,LILIUM 'GLUHWEIN',
058481,5848,1,#1,LIMONIUM PEREZII,Sea Lavender
07580UT,7580,UT,LittleOne,LIPPIA GRAVEOLENS,Mexican Oregano
058495,5849,5,#5,LIQUID STYR ROTUNDILOBA,Round-Lobed Sweetgum
058505,5850,5,#5,LIQUID STYRACIFLUA,AMERICAN SWEETGUM
058805,5880,5,#5,LIRIODENDRON MAJESTIC BEAUTY R,Majestic Beauty ® Tulip Tree
058755,5875,5,#5,LIRIODENDRON TULIPIFERA,Tulip Tree
036805,3680,5,#5,LIRIODENDRON TULIPIFERA ARNOLD,Arnold Tulip Tree
036541,3654,1,#1,LIRIOPE EMRLD GODDESS R P15471,Emerald Goddess ® Lilyturf
009651,965,1,#1,LIRIOPE GREEN,Lily Turf
00966UT,966,UT,LittleOne,LIRIOPE MUSCARI AZTEC GRASS,Aztec Grass
009661,966,1,#1,LIRIOPE MUSCARI AZTEC GRASS,Aztec Grass
00967UT,967,UT,LittleOne,LIRIOPE MUSCARI BIG BLUE,Big Blue Lilyturf
009671,967,1,#1,LIRIOPE MUSCARI BIG BLUE,Big Blue Lilyturf
058851,5885,1,#1,LIRIOPE MUSCARI MAJESTIC,Majestic Lilyturf
009761,976,1,#1,LIRIOPE MUSCARI MONROE'S WHITE,Monroe's White Lilyturf
00977UT,977,UT,LittleOne,LIRIOPE MUSCARI ROYAL PURPLE,Royal Purple Lilyturf
009771,977,1,#1,LIRIOPE MUSCARI ROYAL PURPLE,Royal Purple Lilyturf
058901,5890,1,#1,LIRIOPE MUSCARI SILVR SUNPROOF,Silvery Sunproof Lilyturf
058902,5890,2,#2,LIRIOPE MUSCARI SILVR SUNPROOF,Silvery Sunproof Lilyturf
00979UT,979,UT,LittleOne,LIRIOPE MUSCARI VARIEGATA,Variegated Lilyturf
009791,979,1,#1,LIRIOPE MUSCARI VARIEGATA,Variegated Lilyturf
009811,981,1,#1,LIRIOPE SPICATA,Creeping Lilyturf
05892UT,5892,UT,LittleOne,LIRIOPE SPICATA SILVER DRAGON,Silver Dragon Lilyturf
058921,5892,1,#1,LIRIOPE SPICATA SILVER DRAGON,Silver Dragon Lilyturf
058922,5892,2,#2,LIRIOPE SPICATA SILVER DRAGON,Silver Dragon Lilyturf
05894UT,5894,UT,LittleOne,LITHODORA GRACE WARD,Grace Ward Lithodora
058941,5894,1,#1,LITHODORA GRACE WARD,Grace Ward Lithodora
075741,7574,1,#1,LITHODORA GRACE WARD VAR PPAF,Variegared Grace Ward Lithodora
009841,984,1,#1,LOBELIA COMPLIMENT RED,Compliment Red Lobelia
077631,7763,1,#1,LOBELIA LAXIFLORA,Mexican Cardinal Flower
077632,7763,2,#2,LOBELIA LAXIFLORA,Mexican Cardinal Flower
072511,7251,1,#1,LOBELIA X SPE RUSSIAN PRINCESS,Russian Princess Lobelia
059001,5900,1,#1 STAKED,LONICERA HILDEBRANDIANA,Giant Burmese Honeysuckle
059005,5900,5,#5 STAKED,LONICERA HILDEBRANDIANA,Giant Burmese Honeysuckle
059051,5905,1,#1 BUSH,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle
059051S,5905,1S,SuperOne TM,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle
059051ST,5905,1ST,#1 STAKED,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle
059052ST,5905,2ST,#2 STAKED,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle
059055ST,5905,5ST,#5 STAKED,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle
059101,5910,1,#1 BUSH,LONICERA JAP PURPUREA,Purple-Leaf Japanese Honeysuckle
059101ST,5910,1ST,#1 STAKED,LONICERA JAP PURPUREA,Purple-Leaf Japanese Honeysuckle
059105ST,5910,5ST,#5 STAKED,LONICERA JAP PURPUREA,Purple-Leaf Japanese Honeysuckle
084391,8439,1,#1 STAKED,LONICERA PCHES & CREAM PP21839,Peaches and Cream Honeysuckle
084395,8439,5,#5 STAKED,LONICERA PCHES & CREAM PP21839,Peaches and Cream Honeysuckle
059181,5918,1,#1 STAKED,LONICERA PER BERRIES JUBILEE R,Berries Jubilee ® Woodbine Honeysu
059181S,5918,1S,SuperOne TM,LONICERA PER BERRIES JUBILEE R,Berries Jubilee ® Woodbine Honeysu
059185,5918,5,#5 STAKED,LONICERA PER BERRIES JUBILEE R,Berries Jubilee ® Woodbine Honeysu
086361S,8636,1S,SuperOne TM,LONICERA PER SCENTSATION,Scentsation Honeysuckle
086365,8636,5,#5,LONICERA PER SCENTSATION,Scentsation Honeysuckle
059211,5921,1,#1 STAKED,LONICERA PER WINCHESTER,Winchester Honeysuckle
059212ST,5921,2ST,#2 STAKED,LONICERA PER WINCHESTER,Winchester Honeysuckle
059215,5921,5,#5 STAKED,LONICERA PER WINCHESTER,Winchester Honeysuckle
067761,6776,1,#1 STAKED,LONICERA RET KINTZLEYS GHOST R,Kintzley's Ghost ® Honeysuckle
067762,6776,2,#2,LONICERA RET KINTZLEYS GHOST R,Kintzley's Ghost ® Honeysuckle
067765,6776,5,#5,LONICERA RET KINTZLEYS GHOST R,Kintzley's Ghost ® Honeysuckle
059201,5920,1,#1 STAKED,LONICERA SEMP MAGNIFICA,Trumpet Honeysuckle
059205,5920,5,#5 STAKED,LONICERA SEMP MAGNIFICA,Trumpet Honeysuckle
067831,6783,1,#1 STAKED,LONICERA SEMP MAJOR WHEELER,Coral Honeysuckle
067831S,6783,1S,SuperOne TM STAKED,LONICERA SEMP MAJOR WHEELER,Coral Honeysuckle
067832,6783,2,#2 STAKED,LONICERA SEMP MAJOR WHEELER,Coral Honeysuckle
067835,6783,5,#5 STAKED,LONICERA SEMP MAJOR WHEELER,Coral Honeysuckle
059271,5927,1,#1 STAKED,LONICERA X BRO DROPMORE SCARLT,Dropmore Scarlet Trumpet Honeysuckle
059272ST,5927,2ST,#2 STAKED,LONICERA X BRO DROPMORE SCARLT,Dropmore Scarlet Trumpet Honeysuckle
059275,5927,5,#5 STAKED,LONICERA X BRO DROPMORE SCARLT,Dropmore Scarlet Trumpet Honeysuckle
058991,5899,1,#1 STAKED,LONICERA X GOLDFLAME,Goldflame Honeysuckle
058991S,5899,1S,SuperOne TM,LONICERA X GOLDFLAME,Goldflame Honeysuckle
058992ST,5899,2ST,#2 STAKED,LONICERA X GOLDFLAME,Goldflame Honeysuckle
058995,5899,5,#5 STAKED,LONICERA X GOLDFLAME,Goldflame Honeysuckle
059111,5911,1,#1 STAKED,LONICERA X MANDARIN PP11083,Mandarin Honeysuckle
059111S,5911,1S,SuperOne TM,LONICERA X MANDARIN PP11083,Mandarin Honeysuckle
059115,5911,5,#5 STAKED,LONICERA X MANDARIN PP11083,Mandarin Honeysuckle
091002,9100,2,#2,LOPHOMYRTUS RED DRAGON R,Red Dragon ® New Zealand Myrtle
071911,7191,1,#1,LOPHOMYRTUS X RALPHII SUNDAE,
071915,7191,5,#5,LOPHOMYRTUS X RALPHII SUNDAE,
040962,4096,2,#2,LORO C DARUMA,
037425,3742,5,#5,LORO C EVER RED R,Ever Red ® Fringe Flower
037425PT,3742,5PT,#5 PATIO TREE,LORO C EVER RED R,Ever Red ® Fringe Flower
040201,4020,1,#1,LORO C PIPA'S RED,Pipa's Red Chinese Fringe Flower
040202,4020,2,#2,LORO C PIPA'S RED,Pipa's Red Chinese Fringe Flower
059231,5923,1,#1,LORO C RUBRUM RAZZLEBERRI R,Razzleberri ® Fringe Flower
059232,5923,2,#2,LORO C RUBRUM RAZZLEBERRI R,Razzleberri ® Fringe Flower
059233,5923,3,#3,LORO C RUBRUM RAZZLEBERRI R,Razzleberri ® Fringe Flower
059235,5923,5,#5,LORO C RUBRUM RAZZLEBERRI R,Razzleberri ® Fringe Flower
059235PT,5923,5PT,#5 PATIO TREE,LORO C RUBRUM RAZZLEBERRI R,Razzleberri ® Fringe Flower
059237PT,5923,7PT,#7 PATIO TREE,LORO C RUBRUM RAZZLEBERRI R,Razzleberri ® Fringe Flower
059191,5919,1,#1,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059192,5919,2,#2,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059192PT,5919,2PT,#2 PATIO TREE,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059192ST,5919,2ST,#2 STAKED,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059193,5919,3,#3,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059195,5919,5,#5,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059195ES,5919,5ES,#5 ESPALIER,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059195PT,5919,5PT,#5 PATIO TREE,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
059197PT,5919,7PT,#7 PATIO TREE,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
098401,9840,1,#1,LORO C SNOW PANDA,Snow Panda Fringe Flower
098402,9840,2,#2,LORO C SNOW PANDA,Snow Panda Fringe Flower
098405,9840,5,#5,LORO C SNOW PANDA,Snow Panda Fringe Flower
009931,993,1,#1,LORO C SUZANNE,Suzanne Fringe Flower
009932,993,2,#2,LORO C SUZANNE,Suzanne Fringe Flower
009933,993,3,#3,LORO C SUZANNE,Suzanne Fringe Flower
009935,993,5,#5,LORO C SUZANNE,Suzanne Fringe Flower
009941,994,1,#1,LORO C ZHUZHOU FUCHSIA,Zhuzhou Fuchsia Fringe Flower
009943,994,3,#3,LORO C ZHUZHOU FUCHSIA,Zhuzhou Fuchsia Fringe Flower
009945,994,5,#5,LORO C ZHUZHOU FUCHSIA,Zhuzhou Fuchsia Fringe Flower
046785,4678,5,#5,LORO TRAILING #9 (PPAF),
06226UT,6226,UT,LittleOne,LOTUS CORNICULATUS PLENIFLORUS,Bird's Foot Trefoil
029611,2961,1,#1,LUPINUS POL MINARETTE,Minarette Dwarf Lupine
029611S,2961,1S,SuperOne TM,LUPINUS POL MINARETTE,Minarette Dwarf Lupine
06231UT,6231,UT,LittleOne,LYSIMACHIA NUMMULARIA AUREA,Golden Creeping Jenny
062311,6231,1,#1,LYSIMACHIA NUMMULARIA AUREA,Golden Creeping Jenny
086861,8686,1,#1,LYSIMACHIA PRO GOLDEN GLOBES,Golden Globes Loosestrife
059381,5938,1,#1 STAKED,MACFADYENA UNGUIS-CATI,Yellow Trumpet Vine
059385,5938,5,#5 STAKED,MACFADYENA UNGUIS-CATI,Yellow Trumpet Vine
009985,998,5,#5,MAG G ALTA TM P11612,Alta ™ Southern Magnolia
009989,998,9,#15,MAG G ALTA TM P11612,Alta ™ Southern Magnolia
026045,2604,5,#5,MAG G BABY GRAND PP13851,Baby Grand ® Magnolia
026047,2604,7,#7,MAG G BABY GRAND PP13851,Baby Grand ® Magnolia
060435,6043,5,#5,MAG G BRACKENS BROWN BEAUTY,Bracken's Brown Beauty Magnolia
060437,6043,7,#7,MAG G BRACKENS BROWN BEAUTY,Bracken's Brown Beauty Magnolia
060439,6043,9,#15,MAG G BRACKENS BROWN BEAUTY,Bracken's Brown Beauty Magnolia
06043X,6043,X,#30,MAG G BRACKENS BROWN BEAUTY,Bracken's Brown Beauty Magnolia
059525,5952,5,#5,MAG G DD BLANCHARD,D.D. Blanchard Southern Magnolia
059527,5952,7,#7,MAG G DD BLANCHARD,D.D. Blanchard Southern Magnolia
059529,5952,9,#15,MAG G DD BLANCHARD,D.D. Blanchard Southern Magnolia
010035,1003,5,#5,MAG G GREENBACK TM P9243,Greenback ™ Southern Magnolia
039735,3973,5,#5,MAG G KAY PARRIS,Kay Parris Magnolia
039739,3973,9,#15,MAG G KAY PARRIS,Kay Parris Magnolia
03973M,3973,M,#10 Squat,MAG G KAY PARRIS,Kay Parris Magnolia
059435,5943,5,#5,MAG G LITTLE GEM,Dwarf Southern Magnolia
059437,5943,7,#7,MAG G LITTLE GEM,Dwarf Southern Magnolia
059437ES,5943,7ES,#7 ESPALIER,MAG G LITTLE GEM,Dwarf Southern Magnolia
059439,5943,9,#15,MAG G LITTLE GEM,Dwarf Southern Magnolia
059439ES,5943,9ES,#15 ESPALIER,MAG G LITTLE GEM,Dwarf Southern Magnolia
